peptide,mean_rohhad,mean_healthy,std_rohhad,std_healthy,diff,n_rohhad,n_healthy,pvalue_ttest,pvalue_mw,qvalue_ttest,qvalue_mw,significant_fdr05,significant_fdr01
gi|767902862|ref|XP_011539191.1|_PREDICTED:_ELAV-like_protein_4_isoform_X1_[Homo_sapiens]_fragment_11,20.081167511936627,-2.3818128330003323,1.518006334331165,2.6097567546041027,22.46298034493696,2,63,0.018555542862656947,0.0006778384171422399,0.030016319336650946,0.10438711623990493,True,False
gi|767954646|ref|XP_011516085.1|_PREDICTED:_ELAV-like_protein_2_isoform_X7_[Homo_sapiens]_fragment_10,18.628499399252533,-3.420913717601818,3.1039120829848126,2.9892378111658964,22.04941311685435,2,63,0.05656597165786576,0.0021279245730455396,0.07915638014821742,0.2184669228326754,False,False
gi|661567333|ref|NP_001138247.2|_ELAV-like_protein_4_isoform_3_[Homo_sapiens]_fragment_11,21.544762196269154,0.09667138831361076,1.473314030697653,0.7673053571195094,21.448090807955545,2,63,0.029551889597163775,6.576022122487296e-11,0.04463944088242493,6.75138271242029e-08,True,False
gi|807201167|ref|NP_001293108.1|_hepatocyte_nuclear_factor_1-alpha_isoform_1_[Homo_sapiens]_fragment_7,20.614449887873004,-0.5868162975410739,2.6093437119680027,3.959279630379048,21.201266185414077,2,63,0.04120330096348567,0.0031296619311201924,0.060866267130712644,0.2658058138990006,False,False
gi|767954646|ref|XP_011516085.1|_PREDICTED:_ELAV-like_protein_2_isoform_X7_[Homo_sapiens]_fragment_9,20.56773423186428,0.12204138200847629,1.3547510350075584,0.968673439359182,20.445692849855803,2,63,0.027371271714597956,6.576022122487296e-11,0.041801403315095874,6.75138271242029e-08,True,False
gi|190341065|ref|NP_055526.3|_centriolar_coiled-coil_protein_of_110_kDa_isoform_2_[Homo_sapiens]_fragment_10,20.369565301810795,0.5106379680593179,0.9623156319952395,2.0136461723977837,19.858927333751478,2,63,0.009478117633161118,2.270336250097964e-06,0.01718222619784358,0.00063569415002743,True,False
gi|24307963|ref|NP_037436.1|_probable_palmitoyltransferase_ZDHHC1_[Homo_sapiens]_fragment_4,15.61970986225943,-3.0877178873420217,6.56404339057704,0.0,18.70742774960145,2,63,0.1548246729646062,2.095830086885881e-15,0.19852622511698045,6.455156667608513e-12,False,False
gi|513788261|ref|NP_056145.4|_cytospin-A_isoform_1_[Homo_sapiens]_fragment_5,14.75342882522267,1.4990444426899492,4.692610068346339,3.2295838284836353,13.25438438253272,2,63,0.15158516495983326,0.0011582845985233217,0.19445327283477154,0.14972387061574355,False,False
gi|767993815|ref|XP_011522734.1|_PREDICTED:_ankyrin_repeat_and_fibronectin_type-III_domain-containing_protein_1_isoform_X7_[Homo_sapiens]_fragment_2,8.432029149134058,-4.639046055008985,0.3347637525067086,4.936457426160573,13.071075204143042,2,63,1.3649317291860055e-20,0.008567946216078228,4.671099695436552e-18,0.6137040545469986,True,True
gi|768037744|ref|XP_011529256.1|_PREDICTED:_XK-related_protein_2_isoform_X1_[Homo_sapiens]_fragment_7,14.424054577182975,1.4440043117771515,0.40984344163459746,3.7148819139552716,12.980050265405824,2,63,3.014077297451111e-11,0.00034824992594250373,1.3855758322611076e-09,0.056453145889626924,True,True
gi|767898270|ref|XP_011507076.1|_PREDICTED:_putative_speedy_protein_E6_[Homo_sapiens]_fragment_0,11.188733165588992,-0.8178133283283066,2.067200318680882,4.409638387590194,12.006546493917298,2,63,0.04776892498114424,0.003452023557129878,0.0688573399754015,0.2658058138990006,False,False
gi|530408284|ref|XP_005255450.1|_PREDICTED:_RNA_binding_protein_fox-1_homolog_1_isoform_X15_[Homo_sapiens]_fragment_14,9.789850388161376,-2.099314813481353,4.0001708675413505,2.933740031860871,11.88916520164273,2,63,0.14352824863620867,0.00034824992594250373,0.1844251171462339,0.056453145889626924,False,False
gi|768031487|ref|XP_011529009.1|_PREDICTED:_myotubularin-related_protein_5_isoform_X1_[Homo_sapiens]_fragment_5,9.69865409233385,-2.1417528965762167,1.1569072898849087,4.203281547498902,11.840406988910066,2,63,0.006606737030011651,0.0023691203269197805,0.012789912037986101,0.23538356796493304,True,False
gi|557440812|ref|NP_001273492.1|_GRAM_domain-containing_protein_1B_isoform_1_[Homo_sapiens]_fragment_11,13.514851529548654,1.68259846553199,0.9039972023002798,4.020210898600444,11.832253064016664,2,63,0.0013824915580009627,0.001215291157595321,0.0034173948624742897,0.14972387061574355,True,True
gi|767919050|ref|XP_011509851.1|_PREDICTED:_ankyrin_repeat_domain-containing_protein_36B_isoform_X8_[Homo_sapiens]_fragment_47,10.837891824302336,0.18098147975934586,2.9617592358183646,5.455677225472707,10.65691034454299,2,63,0.09569808301192548,0.015358627224403825,0.12463006159692622,0.9199879035472728,False,False
gi|425871110|ref|NP_001258745.1|_DNA_cross-link_repair_1A_protein_[Homo_sapiens]_fragment_1,14.32280049215801,3.937365106432007,1.992685448571364,5.2704418237136235,10.385435385726002,2,63,0.04352061443161091,0.011518830487565536,0.06419707492785519,0.7611771970417708,False,False
gi|767880071|ref|XP_011514026.1|_PREDICTED:_ankyrin_repeat_domain-containing_protein_36C_isoform_X2_[Homo_sapiens]_fragment_82,8.180929569112752,-2.0242113334788034,2.123345451997044,4.825789071567403,10.205140902591555,2,63,0.05763429429704306,0.011615366318494556,0.080541572792601,0.7611771970417708,False,False
gi|21624641|ref|NP_660201.1|_calcium-binding_protein_4_isoform_a_[Homo_sapiens]_fragment_1,3.67213915927052,-6.525134907285714,1.8486323570245575,5.317748398517888,10.197274066556233,2,63,0.03537337562483479,0.012361791031363749,0.052785851223106174,0.7770268648285784,False,False
gi|20127586|ref|NP_060789.2|_tyrosyl-DNA_phosphodiesterase_1_[Homo_sapiens]_fragment_1,7.670598525176467,-2.3831545813872155,15.73817958879018,2.895944359834883,10.053753106563683,2,63,0.5321851162251758,0.08762881444798194,0.6079859636400377,0.9199879035472728,False,False
gi|767931863|ref|XP_011530230.1|_PREDICTED:_interferon_regulatory_factor_2_isoform_X1_[Homo_sapiens]_fragment_12,10.08517336728195,0.2578137261412272,0.43262427139081594,1.4791971860640114,9.827359641140722,2,63,0.0018497865150408797,2.041709852140108e-08,0.004372480787663783,1.137900749106619e-05,True,True
gi|464397210|ref|NP_001264114.1|_sterile_alpha_motif_domain-containing_protein_3_isoform_3_[Homo_sapiens]_fragment_5,10.878924581210942,1.2361467291484736,0.40495430668782145,3.809811723512196,9.64277785206247,2,63,2.801902131864232e-10,0.00027530380446117396,7.570051373808627e-09,0.04987857163178916,True,True
gi|464397210|ref|NP_001264114.1|_sterile_alpha_motif_domain-containing_protein_3_isoform_3_[Homo_sapiens]_fragment_6,6.689619851679601,-2.934669443445992,6.093283102720324,3.3745009002183566,9.624289295125593,2,63,0.26530296771203643,1.3643584887388196e-05,0.32107392556112857,0.0035018534544296372,False,False
gi|40217799|ref|NP_079082.2|_uncharacterized_protein_C11orf63_isoform_1_[Homo_sapiens]_fragment_14,3.056487777134233,-6.150547330690445,2.2406005554071693,5.8359941833630815,9.207035107824678,2,63,0.06241163934769826,0.0315321678988723,0.08666719981555934,0.9199879035472728,False,False
gi|768009552|ref|XP_011525328.1|_PREDICTED:_lipolysis-stimulated_lipoprotein_receptor_isoform_X2_[Homo_sapiens]_fragment_6,10.600874883266219,1.4797040880322925,1.9680041116026326,5.886979105281121,9.121170795233926,2,63,0.04379515860687377,0.03457661510455646,0.06457112901348551,0.9199879035472728,False,False
gi|767902514|ref|XP_011539049.1|_PREDICTED:_quinone_oxidoreductase_isoform_X1_[Homo_sapiens]_fragment_1,10.401116839139613,1.43105383482482,0.879435814235164,3.7215742684920867,8.970063004314794,2,63,0.0034260081577534027,0.0018629831274871542,0.00729240160738112,0.1978616562986357,True,True
gi|5729945|ref|NP_006590.1|_nuclear_factor_of_activated_T-cells_5_isoform_c_[Homo_sapiens]_fragment_7,10.335546432718665,1.4884117120360871,0.3634984404071367,3.816856783823858,8.847134720682579,2,63,9.643694369914285e-12,0.0015275279244725164,5.500477529506667e-10,0.18095330797597503,True,True
gi|767903685|ref|XP_011539518.1|_PREDICTED:_nephrocystin-4_isoform_X1_[Homo_sapiens]_fragment_45,10.651301530717348,1.9223631096706557,1.7806966211004405,4.435087396617792,8.728938421046692,2,63,0.05109155163293104,0.003368011144941161,0.07208519424160678,0.2658058138990006,False,False
gi|767969044|ref|XP_011543667.1|_PREDICTED:_neurexin-2-beta_isoform_X1_[Homo_sapiens]_fragment_15,9.77172664194859,1.2793628060329352,2.401728906443625,3.732473512210209,8.492363835915654,2,63,0.10488453329883174,0.0008963449436742048,0.13596143205404113,0.13146392507221671,False,False
gi|530392057|ref|XP_005252459.1|_PREDICTED:_BEN_domain-containing_protein_7_isoform_X4_[Homo_sapiens]_fragment_4,10.510392571648726,2.0692071179608873,1.4956312539607757,5.711877199181106,8.441185453687838,2,63,0.018800839999582455,0.04371010964442393,0.0303812104925047,0.9199879035472728,True,False
gi|578838107|ref|XP_006724623.1|_PREDICTED:_PDZ_domain-containing_protein_MAGIX_isoform_X1_[Homo_sapiens]_fragment_2,9.744338900773004,1.3849106029644442,0.6998409712060095,3.103311121966253,8.35942829780856,2,63,0.0017854043672041466,0.001215291157595321,0.004243090625762941,0.14972387061574355,True,True
